Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1370,36,Female,Shirt,Clothing,88,Wisconsin,M,Orange,Winter,1.0,Yes,Free Shipping,No,No,18,PayPal,Monthly
329,32,Male,Sweater,Clothing,37,Alaska,XL,Pink,Fall,5.0,No,Standard,Yes,Yes,2,PayPal,Annually
3449,58,Male,Shorts,Clothing,89,Montana,L,Orange,Fall,3.0,Yes,Express,Yes,Yes,17,Debit Card,Monthly
501,58,Female,Pants,Clothing,84,Michigan,XL,Olive,Fall,1.0,Yes,Free Shipping,Yes,Yes,47,Credit Card,Weekly
2017,35,Male,Sandals,Footwear,67,Missouri,S,Peach,Spring,5.0,No,Free Shipping,Yes,Yes,38,Credit Card,Monthly
186,19,Male,Sandals,Footwear,53,Pennsylvania,S,Black,Winter,4.0,Yes,Free Shipping,Yes,Yes,16,Credit Card,Bi-Weekly
2768,52,Female,Jeans,Clothing,91,Rhode Island,M,Green,Winter,5.0,No,Free Shipping,Yes,Yes,5,Credit Card,Monthly
3489,55,Female,Socks,Clothing,75,Maine,M,Green,Winter,3.0,Yes,2-Day Shipping,No,No,28,Credit Card,Weekly
2319,34,Male,T-shirt,Clothing,57,Idaho,XL,Violet,Summer,4.0,No,Express,Yes,Yes,26,Credit Card,Monthly
2800,20,Male,Shoes,Footwear,28,North Carolina,S,Gold,Spring,3.0,No,2-Day Shipping,Yes,Yes,36,PayPal,Annually
474,40,Male,Jewelry,Accessories,61,Texas,M,Blue,Winter,5.0,No,Free Shipping,No,No,36,Credit Card,Weekly
1372,40,Female,Skirt,Clothing,21,Alabama,XL,Red,Summer,4.0,No,Express,Yes,Yes,36,Credit Card,Monthly
2035,24,Male,Sandals,Footwear,28,Connecticut,M,Purple,Fall,2.0,No,Express,No,No,28,Debit Card,Annually
2392,31,Female,Pants,Clothing,90,New Jersey,L,Black,Summer,1.0,No,Free Shipping,No,No,12,Debit Card,Weekly
1988,62,Male,Sweater,Clothing,74,South Dakota,S,White,Summer,5.0,No,Express,No,No,20,Debit Card,Weekly
564,36,Male,Shirt,Clothing,21,Arizona,S,Maroon,Summer,3.0,Yes,Free Shipping,Yes,Yes,44,Apple Pay,Monthly
3291,57,Female,Socks,Clothing,20,Utah,XL,Pink,Summer,4.0,No,Express,Yes,Yes,19,Credit Card,Weekly
3329,49,Male,Jewelry,Accessories,66,Kansas,XL,Indigo,Spring,4.0,No,2-Day Shipping,Yes,Yes,12,Apple Pay,Monthly
