customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
1370,36,Female,Shirt,Clothing,88,Wisconsin,M,Orange,Winter,1.0,Yes,Free Shipping,No,18,PayPal,Monthly,Adult,30
329,32,Male,Sweater,Clothing,37,Alaska,XL,Pink,Fall,5.0,No,Standard,Yes,2,PayPal,Annually,Adult,365
3449,58,Male,Shorts,Clothing,89,Montana,L,Orange,Fall,3.0,Yes,Express,Yes,17,Debit Card,Monthly,Middle Aged,30
501,58,Female,Pants,Clothing,84,Michigan,XL,Olive,Fall,1.0,Yes,Free Shipping,Yes,47,Credit Card,Weekly,Middle Aged,7
2017,35,Male,Sandals,Footwear,67,Missouri,S,Peach,Spring,5.0,No,Free Shipping,Yes,38,Credit Card,Monthly,Adult,30
186,19,Male,Sandals,Footwear,53,Pennsylvania,S,Black,Winter,4.0,Yes,Free Shipping,Yes,16,Credit Card,Bi-Weekly,Young Adult,14
2768,52,Female,Jeans,Clothing,91,Rhode Island,M,Green,Winter,5.0,No,Free Shipping,Yes,5,Credit Card,Monthly,Middle Aged,30
3489,55,Female,Socks,Clothing,75,Maine,M,Green,Winter,3.0,Yes,2-Day Shipping,No,28,Credit Card,Weekly,Middle Aged,7
2319,34,Male,T-shirt,Clothing,57,Idaho,XL,Violet,Summer,4.0,No,Express,Yes,26,Credit Card,Monthly,Adult,30
2800,20,Male,Shoes,Footwear,28,North Carolina,S,Gold,Spring,3.0,No,2-Day Shipping,Yes,36,PayPal,Annually,Young Adult,365
474,40,Male,Jewelry,Accessories,61,Texas,M,Blue,Winter,5.0,No,Free Shipping,No,36,Credit Card,Weekly,Adult,7
1372,40,Female,Skirt,Clothing,21,Alabama,XL,Red,Summer,4.0,No,Express,Yes,36,Credit Card,Monthly,Adult,30
2035,24,Male,Sandals,Footwear,28,Connecticut,M,Purple,Fall,2.0,No,Express,No,28,Debit Card,Annually,Young Adult,365
2392,31,Female,Pants,Clothing,90,New Jersey,L,Black,Summer,1.0,No,Free Shipping,No,12,Debit Card,Weekly,Adult,7
1988,62,Male,Sweater,Clothing,74,South Dakota,S,White,Summer,5.0,No,Express,No,20,Debit Card,Weekly,Senior,7
564,36,Male,Shirt,Clothing,21,Arizona,S,Maroon,Summer,3.0,Yes,Free Shipping,Yes,44,Apple Pay,Monthly,Adult,30
3291,57,Female,Socks,Clothing,20,Utah,XL,Pink,Summer,4.0,No,Express,Yes,19,Credit Card,Weekly,Middle Aged,7
3329,49,Male,Jewelry,Accessories,66,Kansas,XL,Indigo,Spring,4.0,No,2-Day Shipping,Yes,12,Apple Pay,Monthly,Middle Aged,30
2485,70,Female,Dress,Clothing,25,Illinois,L,Gray,Fall,2.0,No,Store Pickup,Yes,41,Credit Card,Monthly,Senior,30
864,22,Female,Coat,Outerwear,90,Kansas,S,Silver,Winter,2.0,No,Free Shipping,Yes,13,Debit Card,Weekly,Young Adult,7
3280,25,Male,Hoodie,Clothing,48,West Virginia,XL,Gray,Summer,5.0,No,Store Pickup,Yes,30,PayPal,Bi-Weekly,Young Adult,14
582,21,Male,Jacket,Outerwear,37,Illinois,L,Lavender,Fall,5.0,No,Store Pickup,No,43,Credit Card,Monthly,Young Adult,30
2283,23,Male,Pants,Clothing,22,New Mexico,M,Pink,Winter,5.0,No,Express,Yes,36,Debit Card,Monthly,Young Adult,30
3157,58,Female,Handbag,Accessories,36,Hawaii,XL,Indigo,Summer,3.0,No,Standard,Yes,44,Debit Card,Monthly,Middle Aged,30
1559,57,Male,Blouse,Clothing,78,Missouri,XL,Yellow,Winter,4.0,Yes,2-Day Shipping,Yes,44,Debit Card,Weekly,Middle Aged,7
638,62,Male,Sweater,Clothing,40,North Carolina,M,Indigo,Winter,2.0,No,2-Day Shipping,Yes,1,Credit Card,Monthly,Senior,30
2108,18,Male,Sandals,Footwear,95,Indiana,XL,Orange,Summer,5.0,Yes,Free Shipping,Yes,48,Credit Card,Annually,Young Adult,365
3770,53,Male,Dress,Clothing,72,Arizona,S,Indigo,Fall,5.0,Yes,Next Day Air,No,24,PayPal,Monthly,Middle Aged,30
1960,42,Female,Hat,Accessories,100,North Dakota,S,Brown,Winter,2.0,No,2-Day Shipping,Yes,41,Debit Card,Monthly,Adult,30
396,33,Female,Pants,Clothing,34,Washington,L,Purple,Fall,4.0,No,Standard,Yes,31,Credit Card,Monthly,Adult,30
1718,21,Female,Shirt,Clothing,69,Nevada,M,Red,Fall,3.0,Yes,Free Shipping,Yes,6,Credit Card,Monthly,Young Adult,30
2896,59,Female,Backpack,Accessories,79,Nevada,L,Gold,Winter,4.0,Yes,Free Shipping,Yes,9,PayPal,Annually,Middle Aged,365
3883,27,Male,Belt,Accessories,66,Massachusetts,XL,Magenta,Winter,1.0,No,2-Day Shipping,Yes,32,Gift Card,Monthly,Young Adult,30
27,55,Male,Jacket,Outerwear,40,Wisconsin,M,Green,Summer,1.0,No,Express,Yes,24,PayPal,Monthly,Middle Aged,30
3675,51,Female,Shirt,Clothing,47,Ohio,M,Indigo,Spring,5.0,No,2-Day Shipping,Yes,11,PayPal,Monthly,Middle Aged,30
3346,39,Female,Sweater,Clothing,41,Indiana,L,Brown,Fall,4.0,No,2-Day Shipping,Yes,16,Credit Card,Weekly,Adult,7
662,33,Male,Sneakers,Footwear,83,Colorado,XL,Orange,Summer,5.0,No,2-Day Shipping,No,6,Debit Card,Monthly,Adult,30
1059,47,Male,Sunglasses,Accessories,82,Hawaii,M,Beige,Fall,4.0,No,Standard,Yes,48,Credit Card,Weekly,Middle Aged,7
775,60,Female,Handbag,Accessories,27,South Carolina,M,Green,Spring,5.0,No,Free Shipping,Yes,23,Debit Card,Bi-Weekly,Senior,14
461,66,Female,Backpack,Accessories,50,North Carolina,S,Charcoal,Summer,4.0,No,2-Day Shipping,Yes,46,Debit Card,Monthly,Senior,30
3895,37,Female,Socks,Clothing,31,Washington,L,Brown,Fall,4.0,Yes,Store Pickup,Yes,20,Credit Card,Monthly,Adult,30
3775,21,Male,Backpack,Accessories,31,Kentucky,M,Brown,Winter,5.0,No,Free Shipping,No,31,Debit Card,Weekly,Young Adult,7
1006,40,Male,Shoes,Footwear,42,Vermont,S,Magenta,Winter,2.0,Yes,Free Shipping,Yes,9,Credit Card,Annually,Adult,365
642,25,Male,Scarf,Accessories,93,Michigan,XL,Cyan,Summer,5.0,No,Free Shipping,Yes,35,Credit Card,Weekly,Young Adult,7
745,66,Male,Jewelry,Accessories,44,Alabama,L,Gold,Fall,1.0,No,Free Shipping,Yes,33,Credit Card,Bi-Weekly,Senior,14
223,57,Female,Belt,Accessories,37,Nevada,XL,Yellow,Summer,5.0,No,Free Shipping,Yes,33,Debit Card,Bi-Weekly,Middle Aged,14
2153,55,Female,Sandals,Footwear,89,New Mexico,L,Blue,Spring,4.0,No,Free Shipping,Yes,17,Credit Card,Monthly,Middle Aged,30
1511,20,Male,Shirt,Clothing,78,Hawaii,S,Beige,Winter,4.0,No,Express,Yes,22,Apple Pay,Bi-Weekly,Young Adult,14
2949,64,Female,Socks,Clothing,42,Idaho,L,Gray,Spring,5.0,No,Store Pickup,Yes,13,PayPal,Monthly,Senior,30
1798,49,Female,Gloves,Accessories,38,Minnesota,L,Red,Spring,4.0,No,2-Day Shipping,Yes,42,Debit Card,Annually,Middle Aged,365
323,63,Male,T-shirt,Clothing,55,Minnesota,S,White,Winter,4.0,No,Free Shipping,Yes,22,Credit Card,Monthly,Senior,30
3768,60,Female,Shoes,Footwear,33,Oregon,XL,Beige,Winter,5.0,No,2-Day Shipping,No,20,Credit Card,Monthly,Senior,30
524,64,Male,Hat,Accessories,77,Indiana,L,Yellow,Spring,4.0,No,Express,Yes,3,Credit Card,Monthly,Senior,30
1293,70,Female,Boots,Footwear,48,Wisconsin,M,Blue,Summer,5.0,Yes,2-Day Shipping,Yes,20,Debit Card,Annually,Senior,365
3765,49,Female,Shirt,Clothing,35,Wyoming,XL,Gold,Spring,4.0,No,Free Shipping,Yes,9,Debit Card,Annually,Middle Aged,365
1133,21,Female,Sandals,Footwear,32,Delaware,S,Yellow,Summer,3.0,Yes,Free Shipping,Yes,24,Credit Card,Bi-Weekly,Young Adult,14
2104,59,Female,Scarf,Accessories,46,Arizona,S,Magenta,Summer,4.0,Yes,Free Shipping,Yes,33,PayPal,Monthly,Middle Aged,30
3713,33,Male,Pants,Clothing,81,Kentucky,XL,Silver,Spring,3.0,No,Express,Yes,22,Debit Card,Annually,Adult,365
1246,22,Female,Jewelry,Accessories,41,Pennsylvania,S,Teal,Winter,5.0,Yes,Store Pickup,Yes,5,Credit Card,Bi-Weekly,Young Adult,14
77,48,Male,Backpack,Accessories,93,New Mexico,M,Peach,Summer,5.0,No,Free Shipping,No,34,PayPal,Monthly,Middle Aged,30
3783,66,Male,Pants,Clothing,96,Delaware,XL,Yellow,Spring,1.0,No,Free Shipping,Yes,46,Debit Card,Annually,Senior,365
474,33,Female,Scarf,Accessories,40,South Dakota,L,Purple,Summer,2.0,Yes,Free Shipping,Yes,4,Debit Card,Monthly,Adult,30
96,20,Female,Handbag,Accessories,92,Arizona,M,Maroon,Winter,4.0,No,Standard,No,27,Debit Card,Monthly,Young Adult,30
3557,41,Male,Pants,Clothing,37,Louisiana,L,Green,Spring,3.0,Yes,Standard,Yes,42,Credit Card,Annually,Adult,365
1548,24,Male,Sneakers,Footwear,79,Kentucky,M,Beige,Spring,5.0,No,Standard,Yes,44,Credit Card,Monthly,Young Adult,30
338,59,Female,Jewelry,Accessories,29,Michigan,M,Blue,Winter,4.0,No,Express,No,19,Credit Card,Weekly,Middle Aged,7
1935,68,Male,Coat,Outerwear,82,Delaware,L,Teal,Fall,1.0,No,Free Shipping,Yes,10,Debit Card,Weekly,Senior,7
2,19,Female,Sweater,Clothing,71,West Virginia,XL,Charcoal,Winter,4.0,No,Free Shipping,Yes,29,Gift Card,Bi-Weekly,Young Adult,14
2819,70,Female,T-shirt,Clothing,44,Rhode Island,L,Teal,Winter,5.0,No,Store Pickup,Yes,28,Credit Card,Monthly,Senior,30
3497,53,Male,Sunglasses,Accessories,48,Colorado,S,Yellow,Spring,3.0,No,Standard,Yes,25,Credit Card,Monthly,Middle Aged,30
1171,25,Male,Sandals,Footwear,30,Missouri,S,Violet,Fall,5.0,No,Store Pickup,Yes,49,Debit Card,Weekly,Young Adult,7
3650,60,Male,Shorts,Clothing,72,New Mexico,M,Pink,Spring,5.0,No,2-Day Shipping,Yes,11,Apple Pay,Weekly,Senior,7
1293,25,Female,Skirt,Clothing,65,Delaware,S,Charcoal,Winter,5.0,No,Standard,Yes,33,PayPal,Weekly,Young Adult,7
1576,65,Male,Shoes,Footwear,57,Pennsylvania,M,Maroon,Winter,4.0,No,Express,Yes,3,Credit Card,Monthly,Senior,30
2536,51,Male,Scarf,Accessories,27,Virginia,M,Brown,Winter,5.0,No,Express,Yes,25,Debit Card,Monthly,Middle Aged,30
